0	24
249999	24
250000	29
499999	29
500000	28
749999	28
750000	25
999999	25
1000000	29
1249999	29
1250000	20
1499999	20
1500000	16
1749999	16
1750000	6
1999999	6
2000000	19
2249999	19
2250000	22
2499999	22
2500000	21
2749999	21
2750000	10
2999999	10
3000000	11
3249999	11
3250000	12
3499999	12
3500000	15
3749999	15
3750000	20
3999999	20
4000000	26
4249999	26
4250000	75
4499999	75
4500000	26
4749999	26
4750000	13
4999999	13
5000000	5
5249999	5
5250000	4
5499999	4
5500000	10
5749999	10
5750000	2
5999999	2
6250000	1
6499999	1
7000000	4
7249999	4
7250000	96
7499999	96
7500000	2
7749999	2
7750000	1
7999999	1
8000000	1
8249999	1
8250000	2
8499999	2
8750000	25
8999999	25
9250000	29
9499999	29
9500000	25
9749999	25
9750000	7
9999999	7
10000000	3
10249999	3
10250000	4
10499999	4
10500000	2
10749999	2
10750000	79
10999999	79
11000000	243
11249999	243
11250000	152
11499999	152
11500000	69
11749999	69
11750000	15
11999999	15
12000000	1
12249999	1
12250000	3
12499999	3
12500000	124
12749999	124
12750000	160
12999999	160
13000000	231
13249999	231
13250000	106
13499999	106
13500000	34
13749999	34
13750000	85
13999999	85
14000000	46
14249999	46
14250000	58
14499999	58
14500000	42
14749999	42
14750000	11
14999999	11
15000000	1
15249999	1
15250000	2
15499999	2
15500000	1
15749999	1
15750000	2
15999999	2
16250000	2
16499999	2
16500000	6
16749999	6
16750000	6
16999999	6
17000000	2
17249999	2
17250000	4
17499999	4
18500000	2
18749999	2
18750000	1
18999999	1
19500000	1
19749999	1
20000000	1
20249999	1
20750000	4
20999999	4
21250000	1
21499999	1
23750000	1
23999999	1
25500000	1
25749999	1
26000000	1
26249999	1
26250000	2
26499999	2
26500000	1
26749999	1
26750000	1
26999999	1
27000000	13
27249999	13
27250000	7
27499999	7
27500000	3
27749999	3
27750000	4
27999999	4
28000000	1
28249999	1
28250000	2
28499999	2
28500000	15
28749999	15
28750000	11
28999999	11
29000000	7
29249999	7
29250000	8
29499999	8
29500000	3
29749999	3
29750000	6
29999999	6
30000000	13
30249999	13
30250000	3
30499999	3
30500000	1
30749999	1
30750000	3
30999999	3
31000000	3
31249999	3
32750000	3
32999999	3
33000000	4
33249999	4
33250000	1
33499999	1
34000000	3
34249999	3
34250000	1
34499999	1
34500000	1
34749999	1
34750000	9
34999999	9
35000000	1
35249999	1
35500000	7
35749999	7
35750000	30
35999999	30
36000000	3
36249999	3
36250000	7
36499999	7
36500000	4
36749999	4
36750000	3
36999999	3
37000000	20
37249999	20
37250000	12
37499999	12
37500000	1
37749999	1
37750000	9
37999999	9
38000000	4
38249999	4
38500000	1
38749999	1
39000000	6
39249999	6
39250000	7
39499999	7
39500000	2
39749999	2
39750000	3
39999999	3
40000000	2
40249999	2
40250000	10
40499999	10
40500000	4
40749999	4
40750000	2
40999999	2
41000000	14
41249999	14
41250000	12
41499999	12
41500000	37
41749999	37
41750000	32
41999999	32
42000000	26
42249999	26
42250000	7
42499999	7
42500000	17
42749999	17
42750000	26
42999999	26
43000000	14
43249999	14
43250000	2
43499999	2
